### Menu-builder scorecard — OEB

Concepts: **25**  ·  Unique targets: **518**  ·  LLM calls: **484**  ·  Wall clock: **0.2 s**

| Rewrite type | Targets | LLM calls | Generated | Skipped | Total candidates | Dropped |
|---|---:|---:|---:|---:|---:|---:|
| synonym_label | 34 | 12 | 32 | 2 | 158 | 0 |
| num_to_text | 11 | 2 | 11 | 0 | 33 | 0 |
| unit_conversion | 12 | 4 | 7 | 5 | 18 | 0 |
| unit_expansion | 12 | 4 | 12 | 0 | 33 | 0 |
| abbrev_expansion | 0 | 0 | 0 | 0 | 0 | 0 |
| code_expansion | 0 | 0 | 0 | 0 | 0 | 0 |
| paraphrase | 46 | 46 | 46 | 0 | 420 | 0 |
| expansion | 46 | 46 | 46 | 0 | 454 | 0 |
| compression | 22 | 22 | 22 | 0 | 107 | 0 |
| omission | 212 | 220 | 204 | 8 | 496 | 119 |
| reorder | 49 | 54 | 44 | 5 | 132 | 1 |
| template_paraphrase | 49 | 49 | 49 | 0 | 406 | 0 |
| new_param | 25 | 25 | 25 | 0 | 251 | 0 |
